epochs,Train_loss,Train_Accuracy,Validation_loss,Validation_Accuracy,Time_Taken
1,2.7709886589886454,0.3194312796208531,0.9803752973675728,0.740625,84.56799817085266
2,1.148050290713378,0.6659804502369668,0.6465298850089312,0.80234375,94.0739598274231
3,0.8434178333429364,0.748178317535545,0.47420581616461277,0.858203125,93.41259479522705
4,0.6943373067119111,0.789218009478673,0.3933233702555299,0.881640625,93.74013638496399
5,0.6055253223644048,0.8170912322274881,0.350454268977046,0.903125,94.25015115737915
6,0.5515132427074333,0.8325681279620853,0.3462189817801118,0.897265625,94.03896427154541
7,0.4920664708619999,0.8525473933649289,0.29746143938973546,0.9109375,94.33276057243347
8,0.44886644219900196,0.862292654028436,0.3027863819152117,0.901953125,93.86375737190247
9,0.41762272920900895,0.8732819905213269,0.26582270208746195,0.916796875,93.63352942466736
10,0.39201705424132716,0.875829383886256,0.3089098962955177,0.91484375,93.78785252571106
11,0.37318505292926074,0.8820053317535546,0.2924361969344318,0.916796875,94.40844798088074
12,0.34986005919451396,0.890313981042654,0.26648234063759446,0.919921875,123.95866894721985
13,0.3297327327414005,0.8955420616113744,0.27348831854760647,0.91796875,108.5942223072052
14,0.3165907151423289,0.9021623222748815,0.2920840095030144,0.912109375,137.47766494750977
15,0.305870268723411,0.9032434834123223,0.26992253260686994,0.912890625,127.04180932044983
16,0.30536417326761933,0.9053761848341233,0.26766924327239394,0.917578125,94.16294860839844
17,0.2933317249027297,0.9108708530805687,0.3109332653693855,0.91015625,161.70635056495667
18,0.26605554817959454,0.9140402843601896,0.2727603712119162,0.9140625,162.42239212989807
19,0.2636918961798763,0.9192831753554502,0.28714548680000007,0.908984375,150.405779838562
20,0.2603412508540809,0.9158767772511849,0.26976233115419745,0.9265625,134.32896828651428
21,0.24653214162824702,0.9230302132701422,0.24386616423726082,0.927734375,145.58963227272034
22,0.24787160232927985,0.9221563981042653,0.2665919157443568,0.923828125,96.94782781600952
23,0.24877814431476156,0.9222304502369668,0.24784119380638003,0.92578125,96.29370784759521
24,0.24558637233812944,0.9248667061611374,0.24923405866138637,0.921875,96.07979321479797
25,0.22494212139653863,0.9302725118483413,0.23763226019218564,0.92265625,97.51976609230042
26,0.23237725562676434,0.9292357819905213,0.26404125010594726,0.924609375,143.49545526504517
27,0.23182212082907486,0.9298133886255925,0.26678439090028405,0.92734375,157.36263489723206
28,0.22138906293879682,0.9309241706161138,0.3247700307983905,0.91484375,160.33740329742432
29,0.20608754205667543,0.9336344786729858,0.23597871023230255,0.927734375,160.62640285491943
30,0.20657173677908158,0.9375148104265404,0.2863301149336621,0.935546875,160.21308588981628
