epochs,Train_loss,Train_Accuracy,Validation_loss,Validation_Accuracy,Time_Taken
1,1.348068012,0.607701422,0.581341319,0.851171875,89.48514318
2,0.883345962,0.738699645,0.437269505,0.8734375,69.63370919
3,0.692072065,0.794312796,0.350903737,0.9046875,70.78655219
4,0.57725309,0.827147512,0.329404096,0.91875,72.29284143
5,0.495415327,0.850903436,0.284303551,0.915625,79.76339936
6,0.453094253,0.863092417,0.283223829,0.90703125,72.0595181
7,0.418717446,0.871252962,0.248092537,0.916796875,72.9253335
8,0.374121117,0.885130332,0.271300981,0.919921875,72.61157942
9,0.349232307,0.893276066,0.267733344,0.93828125,72.55993748
10,0.322178369,0.899718602,0.246044869,0.928515625,72.45761895
11,0.288609711,0.908723341,0.264092317,0.92578125,72.58430147
12,0.279252145,0.914306872,0.238939049,0.928515625,73.59491706
13,0.26915062,0.912944313,0.184719447,0.93515625,72.5393908
14,0.260843703,0.91839455,0.181770356,0.955859375,72.60527921
15,0.248989734,0.919238744,0.224957951,0.936328125,71.578861
16,0.239480911,0.922452607,0.211666049,0.940234375,72.29677534
17,0.215547116,0.933975118,0.216356766,0.9375,72.64510298
18,0.217650653,0.931812796,0.260804472,0.924609375,71.82505369
19,0.217928714,0.93019846,0.275777718,0.92265625,72.59712863
20,0.20725561,0.93471564,0.252536325,0.936328125,72.78039217
21,0.195798,0.9375,0.267836249,0.936328125,72.93283796
22,0.191321008,0.937233412,0.208101595,0.934375,74.90256405
23,0.188293256,0.9413359,0.252377393,0.94140625,121.8400896
24,0.172513714,0.943972156,0.202894492,0.9375,73.99684167
25,0.175409271,0.945645735,0.22713888,0.94921875,70.71268177
26,0.16915238,0.947082346,0.198991707,0.944140625,71.81094098
27,0.167030388,0.94723045,0.264902181,0.927734375,70.60142636
28,0.175135477,0.947719194,0.207532415,0.943359375,70.41778517
29,0.156644983,0.950784953,0.194423987,0.937109375,71.17345738
30,0.170777928,0.94444609,0.207036811,0.951953125,71.23197079

