                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.6908,                  0.872,                  0.988,                 1.9013,             0.00023772,             0.00023772,             0.00023772
                      1,                0.20824,                  0.884,                  0.992,                 1.8549,             0.00046002,             0.00046002,             0.00046002
                      2,                0.16334,                  0.896,                  0.996,                  1.839,             0.00066661,             0.00066661,             0.00066661
                      3,                0.12984,                  0.934,                      1,                  1.817,             0.00064331,             0.00064331,             0.00064331
                      4,                0.09684,                  0.954,                  0.998,                 1.8033,             0.00064331,             0.00064331,             0.00064331
                      5,                0.07843,                  0.952,                      1,                  1.803,             0.00061975,             0.00061975,             0.00061975
                      6,                0.05872,                   0.94,                  0.996,                 1.8052,             0.00059619,             0.00059619,             0.00059619
                      7,                0.04585,                   0.96,                      1,                 1.7955,             0.00057263,             0.00057263,             0.00057263
                      8,                0.03842,                  0.966,                      1,                 1.7904,             0.00054907,             0.00054907,             0.00054907
                      9,                0.03534,                   0.97,                  0.996,                 1.7912,              0.0005255,              0.0005255,              0.0005255
                     10,                0.03157,                  0.962,                      1,                 1.7956,             0.00050194,             0.00050194,             0.00050194
                     11,                0.02474,                  0.968,                  0.998,                  1.788,             0.00047838,             0.00047838,             0.00047838
                     12,                0.02579,                  0.974,                      1,                 1.7869,             0.00045482,             0.00045482,             0.00045482
                     13,                0.02262,                   0.97,                      1,                 1.7897,             0.00043126,             0.00043126,             0.00043126
                     14,                0.01983,                  0.968,                      1,                 1.7888,             0.00040769,             0.00040769,             0.00040769
                     15,                0.01601,                   0.97,                  0.998,                 1.7877,             0.00038413,             0.00038413,             0.00038413
                     16,                0.01309,                  0.984,                      1,                 1.7829,             0.00036057,             0.00036057,             0.00036057
                     17,                0.01368,                   0.97,                      1,                  1.786,             0.00033701,             0.00033701,             0.00033701
                     18,                0.01245,                   0.97,                  0.998,                 1.7869,             0.00031345,             0.00031345,             0.00031345
                     19,                0.00988,                  0.982,                  0.998,                 1.7818,             0.00028988,             0.00028988,             0.00028988
                     20,                0.00855,                  0.972,                      1,                 1.7856,             0.00026632,             0.00026632,             0.00026632
                     21,                0.00943,                  0.976,                  0.998,                 1.7841,             0.00024276,             0.00024276,             0.00024276
                     22,                  0.007,                  0.978,                  0.998,                 1.7816,              0.0002192,              0.0002192,              0.0002192
                     23,                 0.0056,                  0.978,                      1,                 1.7833,             0.00019564,             0.00019564,             0.00019564
                     24,                0.00609,                   0.98,                      1,                 1.7825,             0.00017207,             0.00017207,             0.00017207
                     25,                0.00463,                   0.98,                      1,                 1.7812,             0.00014851,             0.00014851,             0.00014851
                     26,                 0.0048,                  0.982,                      1,                 1.7817,             0.00012495,             0.00012495,             0.00012495
                     27,                0.00337,                  0.982,                      1,                 1.7812,             0.00010139,             0.00010139,             0.00010139
                     28,                0.00331,                   0.98,                      1,                 1.7817,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     29,                0.00306,                   0.98,                      1,                 1.7808,             5.4264e-05,             5.4264e-05,             5.4264e-05
